W=49;E=49
e1=(V2,V1)
e2=(V3,V2)
e3=(V4,V3)
e4=(V5,V6)
e5=(V6,V7)
e6=(V1,V8)
e7=(V4,V11)
e8=(V12,V5)
e9=(V7,V14)
e10=(V9,V10)
e11=(V13,V12)
e12=(V8,V15)
e13=(V16,V9)
e14=(V10,V17)
e15=(V11,V18)
e16=(V20,V13)
e17=(V15,V16)
e18=(V18,V19)
e19=(V21,V20)
e20=(V17,V24)
e21=(V19,V26)
e22=(V28,V21)
e23=(V23,V22)
e24=(V24,V23)
e25=(V26,V27)
e26=(V27,V28)
e27=(V22,V29)
e28=(V23,V30)
e29=(V32,V25)
e30=(V28,V35)
e31=(V30,V31)
e32=(V33,V32)
e33=(V35,V34)
e34=(V29,V36)
e35=(V31,V38)
e36=(V40,V33)
e37=(V34,V41)
e38=(V35,V42)
e39=(V36,V37)
e40=(V38,V39)
e41=(V39,V40)
e42=(V37,V44)
e43=(V38,V45)
e44=(V41,V48)
e45=(V42,V49)
e46=(V44,V43)
e47=(V45,V46)
e48=(V47,V46)
e49=(V48,V47)
